Case Number,Case Name,Date,Judgement,Summary,Result,Count,Majority,Minority
39480-39481,R. v. Beaver,"Date: December 9, 2022",The Supreme Court rules the confessions made by two men who killed their landlord were admissible as evidence at their trial.,"Majority: Justice Jamal dismissed the appeals (Chief Justice Wagner and Justices Moldaver, Rowe and Kasirer agreed)
Dissenting: Justice Martin would have allowed the appeals, excluded the evidence because it was obtained in a manner that breached the Charter, set aside the convictions and ordered new trials (Justices Karakatsanis, Côté and Brown agreed)",dismissed,5 to 4,"Wagner,Moldaver,Rowe,Kasirer,Jamal","Karakatsanis,Côté,Brown,Martin"
39875,F. v. N.,"Date: December 2, 2022",The Supreme Court rules that a court in the UAE can decide the custody of two resident children who travelled to Ontario with their Canadian mother.,"Majority: Justice Kasirer dismissed the appeal (Chief Justice Wagner and Justices Moldaver, Côté, Rowe agreed)
Dissenting: Justice Jamal would have allowed the appeal, as he agreed with the majority on the applicable legal principles, but disagreed on how the law should be applied to this case (Justices Karakatsanis, Brown and Martin agreed)",dismissed,5 to 4,"Wagner,Moldaver,Côté,Rowe,Kasirer","Karakatsanis,Brown,Martin,Jamal"
39661,Canada (Transportation Safety Board) v. Carroll-Byrne,"Date: November 25, 2022",The Supreme Court rules that a cockpit voice recording can be disclosed at an aviation accident class action trial.,"Majority: Justice Kasirer dismissed the appeal (Chief Justice Wagner and Justices Moldaver, Karakatsanis, Rowe, Martin and Jamal agreed)
Dissenting: Justice Côté would have allowed the appeal, finding errors of law in the judge’s ruling and that the Board should have been allowed to make in camera arguments (Justice Brown agreed)",dismissed,7 to 2,"Wagner,Moldaver,Karakatsanis,Rowe,Martin,Kasirer,Jamal","Côté,Brown"
39871,R. v. Dare,"Date: November 24, 2022",The Supreme Court rules that an online police investigation targeting people searching for sex with children was not entrapment.,"Unanimous: Justice Karakatsanis dismissed the appeal (Chief Justice Wagner and Justices Moldaver, Côté, Brown, Rowe, Martin, Kasirer and Jamal agreed)",dismissed,9 to 0,"Wagner,Moldaver,Karakatsanis,Côté,Brown,Rowe,Martin,Kasirer,Jamal",
39803,R. v. Haniffa,"Date: November 24, 2022",The Supreme Court rules that an online police investigation targeting people searching for sex with children was not entrapment.,"Unanimous: Justice Karakatsanis dismissed the appeal (Chief Justice Wagner and Justices Moldaver, Côté, Brown, Rowe, Martin, Kasirer and Jamal agreed)",dismissed,9 to 0,"Wagner,Moldaver,Karakatsanis,Côté,Brown,Rowe,Martin,Kasirer,Jamal",
39676,R. v. Jaffer,"Date: November 24, 2022",The Supreme Court rules that an online police investigation targeting people searching for sex with children was not entrapment.,"Unanimous: Justice Karakatsanis dismissed the appeal (Chief Justice Wagner and Justices Moldaver, Côté, Brown, Rowe, Martin, Kasirer and Jamal agreed)",dismissed,9 to 0,"Wagner,Moldaver,Karakatsanis,Côté,Brown,Rowe,Martin,Kasirer,Jamal",
39664,R. v. Ramelson,"Date: November 24, 2022",The Supreme Court rules that an online police investigation targeting people searching for sex with children was not entrapment.,"Unanimous: Justice Karakatsanis dismissed the appeal (Chief Justice Wagner and Justices Moldaver, Côté, Brown, Rowe, Martin, Kasirer and Jamal agreed)",dismissed,9 to 0,"Wagner,Moldaver,Karakatsanis,Côté,Brown,Rowe,Martin,Kasirer,Jamal",
39439,Nova Chemicals Corp. v. Dow Chemical Co.,"Date: November 18, 2022",The Supreme Court clarifies how an “accounting of profits” should be calculated for patent infringement.,"Majority: Justice Rowe dismissed the appeal (Chief Justice Wagner and Justices Moldaver, Karakatsanis, Brown, Martin, Kasirer and Jamal agreed)
Dissenting: Justice Côté would have allowed the appeal and sent the case back to the Federal Court to calculate the accounting of profits based on the difference between what Nova earned from selling the patented plastics and what it would have earned from selling the products that it could have and would have sold instead.",dismissed,8 to 1,"Wagner,Moldaver,Karakatsanis,Brown,Rowe,Martin,Kasirer,Jamal",Côté
39879,Des Groseillers v. Quebec (Agence du revenu),"Date: November 17, 2022",The Supreme Court rules that stock options donated to charities by an employee are employment income under Quebec’s Taxation Act.,"Unanimous: Chief Justice Wagner and Justices Karakatsanis, Brown, Rowe, Martin, Kasirer and Jamal dismissed the appeal",dismissed,7 to 0,"Wagner,Karakatsanis,Brown,Rowe,Martin,Kasirer,Jamal",
39547,Peace River Hydro Partners v. Petrowest Corp.,"Date: November 10, 2022",The Supreme Court rules that an arbitration agreement does not trump a lawsuit.,"Majority: Justice Côté dismissed the appeal (Chief Justice Wagner and Justices Moldaver, Rowe and Kasirer agreed)
Concurring: Justice Jamal agreed that the appeal should be dismissed, but found the arbitration agreements inoperative for different reasons (Justices Karakatsanis, Brown and Martin agreed)",dismissed,9 to 0,"Wagner,Moldaver,Côté,Rowe,Kasirer,Karakatsanis,Brown,Martin,Jamal",
39346,R. v. Sharma,"Date: November 4, 2022",The Supreme Court rules that banning conditional sentences for certain offences is constitutional.,"Majority: Justices Brown and Rowe allowed the appeal (Chief Justice Wagner and Justices Moldaver and Côté agreed)
Dissenting: Justice Karakatsanis would have dismissed the appeal, finding sections 742.1(c) and 742.1(e)(ii) unconstitutional (Justices Martin, Kasirer and Jamal agreed)",allowed,5 to 4,"Wagner,Moldaver,Côté,Brown,Rowe","Karakatsanis,Martin,Kasirer,Jamal"
39360,R. v. Ndhlovu,"Date: October 28, 2022",The Supreme Court finds the mandatory and lifetime registration on the sex offender registry unconstitutional.,"Majority: Justices Karakatsanis and Martin allowed the appeal (Justices Rowe, Kasirer and Jamal agreed)
Dissenting in part: Justice Brown would have allowed the appeal in part, finding section 490.012 constitutional and section 490.013(2.1) unconstitutional (Chief Justice Wagner and Justices Moldaver and Côté agreed)",allowed,5 to 4,"Karakatsanis,Rowe,Martin,Kasirer,Jamal","Wagner,Moldaver,Côté,Brown"
39599,R. v. Nahanee,"Date: October 27, 2022",The Supreme Court upholds the eight-year prison sentence for a B.C. man who sexually assaulted two girls.,"Majority: Justice Moldaver dismissed the appeal (Chief Justice Wagner and Justices Brown, Rowe, Martin, Kasirer and Jamal agreed)
Dissenting: Justice Karakatsanis would have allowed the appeal and referred the matter back to the Court of Appeal for it to determine a fit sentence (Justice Côté agreed)",dismissed,7 to 2,"Wagner,Moldaver,Brown,Rowe,Martin,Kasirer,Jamal","Karakatsanis,Côté"
39594,Annapolis Group Inc. v. Halifax Regional Municipality,"Date: October 21, 2022",The Supreme Court rules that a private Halifax land developer can take the regional municipality to court for its plan to expropriate its land.,"Majority: Justices Côté and Brown allowed the appeal (Chief Justice Wagner and Justices Moldaver and Rowe agreed)
Dissenting: Justices Kasirer and Jamal would have dismissed the appeal, finding that Annapolis had no real chance of proving its claim based on the legal requirements set out in the Canadian Pacific Railway Co. case (Justices Karakatsanis and Martin agreed)",allowed,5 to 4,"Wagner,Moldaver,Côté,Brown,Rowe","Karakatsanis,Martin,Kasirer,Jamal"
